object_id,features,functions,sources
027_skillet,part_handle size_medium,,ycb
abaya,aff_carry aff_clean aff_cut aff_hold aff_lie aff_lift aff_move aff_pick aff_put,carry clean cut hold lie lift move pick put,ocl
academic gown,aff_carry aff_clean aff_cut aff_hold aff_lie aff_lift aff_move aff_pick aff_put,carry clean cut hold lie lift move pick put,ocl
accordion,aff_carry aff_clean aff_cut aff_hold aff_lie aff_lift aff_open aff_pick aff_sit,carry clean cut hold lie lift open pick sit,ocl
acorn,aff_carry aff_cut aff_eat aff_hold aff_open aff_pick aff_pull aff_push aff_put,carry cut eat hold open pick pull push put,ocl
adjustable_wrench,mat_metal phys_shape_long size_medium size_small,,ycb
aircraft,aff_carry aff_clean aff_close aff_cook aff_cut aff_drink aff_hold aff_lie aff_lift aff_move aff_open aff_pick aff_pull aff_push aff_put aff_sit,carry clean close cook cut drink hold lie lift move open pick pull push put sit,ocl
alpaca,aff_carry aff_clean aff_hold aff_lie aff_lift aff_move aff_pull aff_push aff_put,carry clean hold lie lift move pull push put,ocl
ambulance,aff_clean aff_close aff_cut aff_hold aff_lie aff_lift aff_move aff_open aff_pull aff_push aff_sit,clean close cut hold lie lift move open pull push sit,ocl
apple,aff_carry aff_clean aff_close aff_cook aff_cut aff_eat aff_hold aff_lie aff_lift aff_move aff_pick aff_pull aff_push aff_put aff_sit size_medium,carry clean close cook cut eat hold lie lift move pick pull push put sit,ocl ycb
armadillo,aff_carry aff_clean aff_cook aff_hold aff_lie aff_lift aff_move aff_open aff_pick aff_put,carry clean cook hold lie lift move open pick put,ocl
artichoke,aff_carry aff_cut aff_eat aff_hold aff_lie aff_lift aff_open aff_push aff_sit,carry cut eat hold lie lift open push sit,ocl
axe,aff_carry aff_clean aff_cut aff_hold aff_lift aff_move aff_open aff_pick aff_push aff_put aff_sit,carry clean cut hold lift move open pick push put sit,ocl
backpack,aff_close aff_cut aff_drink aff_lie aff_lift aff_pick aff_push aff_sit,close cut drink lie lift pick push sit,ocl
bagel,aff_carry aff_cook aff_cut aff_eat aff_hold aff_pick aff_put,carry cook cut eat hold pick put,ocl
baked goods,aff_carry aff_clean aff_cook aff_cut aff_eat aff_hold aff_lie aff_lift aff_move aff_open aff_pick aff_pull aff_push aff_put aff_sit,carry clean cook cut eat hold lie lift move open pick pull push put sit,ocl
balance beam,aff_clean aff_hold aff_lift,clean hold lift,ocl
ball,aff_carry aff_clean aff_cut aff_hold aff_lie aff_lift aff_move aff_open aff_pick aff_pull aff_push aff_put aff_sit,carry clean cut hold lie lift move open pick pull push put sit,ocl
balloon,aff_carry aff_clean aff_hold aff_lift aff_push aff_sit,carry clean hold lift push sit,ocl
banana,aff_carry aff_clean aff_close aff_cook aff_cut aff_drink aff_eat aff_hold aff_lie aff_lift aff_move aff_pick aff_pull aff_push aff_put aff_sit size_medium,carry clean close cook cut drink eat hold lie lift move pick pull push put sit,ocl ycb
banjo,aff_carry aff_clean aff_hold aff_lie aff_lift aff_move aff_open aff_pull aff_push aff_sit,carry clean hold lie lift move open pull push sit,ocl
barbell,aff_carry aff_hold aff_lift aff_open aff_push aff_sit,carry hold lift open push sit,ocl
barrel,aff_carry aff_clean aff_close aff_hold aff_lie aff_lift aff_move aff_open aff_pull aff_push aff_put aff_sit,carry clean close hold lie lift move open pull push put sit,ocl
baseball,phys_shape_round size_medium size_small,,ycb
bathtub,aff_carry aff_clean aff_eat aff_hold aff_lift,carry clean eat hold lift,ocl
beach wagon,aff_carry aff_clean aff_close aff_cut aff_hold aff_lie aff_lift aff_move aff_open aff_pick aff_pull aff_push aff_put aff_sit,carry clean close cut hold lie lift move open pick pull push put sit,ocl
beaker,aff_carry aff_clean aff_close aff_cut aff_eat aff_hold aff_lie aff_lift aff_move aff_open aff_pick aff_pull aff_push aff_put aff_sit,carry clean close cut eat hold lie lift move open pick pull push put sit,ocl
bear,aff_carry aff_clean aff_cut aff_drink aff_eat aff_hold aff_lie aff_lift aff_move aff_open aff_pick aff_pull aff_push aff_put aff_sit,carry clean cut drink eat hold lie lift move open pick pull push put sit,ocl
bed,aff_close aff_cut aff_drink aff_move aff_pick aff_push aff_sit,close cut drink move pick push sit,ocl
bee,aff_move,move,ocl
bell pepper,aff_carry aff_cook aff_cut aff_eat aff_hold aff_lie aff_lift aff_open aff_push aff_sit,carry cook cut eat hold lie lift open push sit,ocl
bench,aff_close aff_cut aff_drink aff_hold aff_lie aff_move aff_open aff_pick aff_push aff_sit,close cut drink hold lie move open pick push sit,ocl
bib,aff_carry aff_clean aff_eat aff_hold aff_push,carry clean eat hold push,ocl
bicycle,aff_carry aff_clean aff_cook aff_cut aff_eat aff_hold aff_lie aff_lift aff_move aff_open aff_pick aff_pull aff_push aff_put aff_sit,carry clean cook cut eat hold lie lift move open pick pull push put sit,ocl
billiard table,aff_carry aff_clean aff_hold aff_lift aff_open,carry clean hold lift open,ocl
binoculars,aff_hold aff_lift aff_move aff_pull aff_push aff_put,hold lift move pull push put,ocl
bird,aff_carry aff_clean aff_cook aff_cut aff_drink aff_eat aff_hold aff_lie aff_lift aff_move aff_open aff_pick aff_pull aff_push aff_put aff_sit,carry clean cook cut drink eat hold lie lift move open pick pull push put sit,ocl
bison,aff_clean aff_hold aff_move aff_pull aff_push aff_sit,clean hold move pull push sit,ocl
bleach_cleanser,size_medium,,ycb
boat,aff_carry aff_clean aff_close aff_cut aff_hold aff_lie aff_lift aff_move aff_open aff_pick aff_pull aff_push aff_put aff_sit,carry clean close cut hold lie lift move open pick pull push put sit,ocl
bookcase,aff_carry aff_clean aff_hold aff_lie aff_lift aff_move aff_push aff_put aff_sit,carry clean hold lie lift move push put sit,ocl
boot,aff_carry aff_clean aff_close aff_cut aff_eat aff_hold aff_lift aff_move aff_open aff_pick aff_pull aff_push aff_put aff_sit,carry clean close cut eat hold lift move open pick pull push put sit,ocl
bottle,aff_clean aff_hold aff_lift aff_move aff_open aff_pick aff_pull aff_push aff_put,clean hold lift move open pick pull push put,ocl
bottle opener,aff_carry aff_clean aff_close aff_cut aff_hold aff_lift aff_pick aff_pull aff_push aff_put,carry clean close cut hold lift pick pull push put,ocl
bowl,geom_cavity mat_ceramic phys_shape_bowl phys_shape_round size_medium,,ycb
